A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
-1.78	7.457	6.924	-0.533	12.08	11.91	0	0	0	0.78824	1	1	0	497097	Xkr4	chr1
4.21	0.483	0.038	-0.446	0	0	0	0.98297	0.99978	0.98931	0	0	0	27395	Mrpl15	chr1
5.28	0.293	-0.367	-0.66	0	0	0	0.99914	0.99856	0.9768	0	0	0	18777	Lypla1	chr1
5	0.371	0.408	0.037	0	0	0	0.99933	0.99909	0.99999	0	0	0	21399	Tcea1	chr1
1.61	-5.488	-5.024	0.464	-17.52	-15.69	0	0	0	0.99685	-1	-1	0	58175	Rgs20	chr1
5.76	-0.814	-1.033	-0.219	0	-0.27	0	0.91516	0.39742	0.99993	0	0	0	108664	Atp6v1h	chr1
6.29	-0.931	-0.317	0.614	0	0	0	0.67431	0.9992	0.9888	0	0	0	12421	Rb1cc1	chr1
5.95	-0.073	0.169	0.242	0	0	0	0.99992	0.99976	0.9997	0	0	0	319263	Pcmtd1	chr1
5.61	1.018	1.318	0.301	0.09	1.58	0	0.46636	0.0761	0.99672	0	0	0	59014	Rrs1	chr1
0.51	-1.318	-1.343	-0.025	-1	-1.11	0	0.17263	0.15019	0.999	0	0	0	76187	Adhfe1	chr1
3.15	0.856	1.337	0.481	0	1.52	0	0.73602	0.08302	0.97499	0	0	0	17864	Mybl1	chr1
6.1	-0.329	-0.016	0.313	0	0	0	0.99871	0.99998	0.99925	0	0	0	70675	Vcpip1	chr1
2.98	1.57	0.389	-1.181	2.83	0	-0.92	0.01111	0.99534	0.19215	0	0	0	170755	Sgk3	chr1
1.88	1.126	0.105	-1.02	0.64	0	-0.11	0.26921	0.99965	0.45846	0	0	0	620986	Gm6195	NA
3.54	0.368	0.224	-0.144	0	0	0	0.9982	0.99958	0.99979	0	0	0	73824	Snhg6	chr1
6.03	0.056	-0.147	-0.204	0	0	0	0.99999	0.99996	0.99996	0	0	0	26754	Cops5	chr1
4.74	-0.357	-0.01	0.347	0	0	0	0.98539	0.99981	0.98873	0	0	0	211660	Cspp1	chr1
7.7	-0.417	-0.236	0.181	0	0	0	0.99563	0.99904	0.99963	0	0	0	211673	Arfgef1	chr1
-2.18	7.561	10.149	2.588	15.2	20.93	3.17	0	0	0.00671	1	1	0	329093	Cpa6	chr1
2.1	1.002	0.78	-0.221	0	0	0	0.50251	0.66034	0.93029	0	0	0	109294	Prex2	chr1
2.79	3.47	4.185	0.716	8.88	11.16	0	1e-05	0	0.80857	1	1	0	240725	Sulf1	chr1
7.17	-0.246	-0.378	-0.132	0	0	0	0.9999	0.99963	0.99998	0	0	0	17978	Ncoa2	chr1
7.22	-1.034	-0.571	0.463	-0.29	0	0	0.39075	0.99643	0.99933	0	0	0	72265	Tram1	chr1
3.68	-1.126	-1.908	-0.783	-0.64	-4.8	0	0.27103	0.00068	0.87653	0	-1	0	212442	Lactb2	chr1
-0.32	6.586	7.655	1.068	9.14	10.56	0.1	1e-05	0	0.47336	1	1	0	14048	Eya1	chr1
-0.41	-3.091	-5.185	-2.094	-4.21	-8.84	-3.25	0.00152	1e-05	0.00588	-1	-1	0	17681	Msc	chr1
3.38	0.498	0.285	-0.212	0	0	0	0.99384	0.99929	0.99959	0	0	0	21749	Terf1	chr1
1.47	6.998	7.174	0.176	15.87	17.41	0	0	0	0.96864	1	1	0	226866	Sbspon	chr1
8.83	0.013	0.331	0.318	0	0	0	1	0.9997	0.99986	0	0	0	19989	Rpl7	chr1
5.55	0.374	0.675	0.301	0	0	0	0.9928	0.92754	0.99686	0	0	0	98711	Rdh10	chr1
4.52	0.016	0.282	0.267	0	0	0	1	0.99981	0.99987	0	0	0	29819	Stau2	chr1
4.47	0.586	0.621	0.034	0	0	0	0.99176	0.98869	0.99998	0	0	0	66799	Ube2w	chr1
5.65	0.954	0.698	-0.256	0	0	0	0.62634	0.97092	0.99977	0	0	0	67923	Eloc	chr1
4.09	0.858	0.366	-0.491	0	0	0	0.83487	0.99934	0.99742	0	0	0	70397	Tmem70	chr1
1.4	-1.99	-1.336	0.653	-4.15	-1.4	0	0.00162	0.10021	0.93054	-1	0	0	17087	Ly96	chr1
1.88	0.14	1.713	1.572	0	3.78	3.08	0.9996	0.00272	0.00765	0	1	0	57339	Jph1	chr1
2.02	4.032	5.094	1.061	4.04	5.09	0.07	0.00197	0.00051	0.4963	1	1	0	94227	Pi15	chr1
2.3	4.581	6.313	1.733	10.51	13.25	1.74	0	0	0.06013	1	1	0	83691	Crispld1	chr1
6.3	0.378	-0.167	-0.545	0	0	0	0.99697	0.99951	0.99006	0	0	0	21419	Tfap2b	chr1
4.94	2.141	1.556	-0.585	4.33	2.19	0	0.00128	0.02993	0.9297	1	0	0	17215	Mcm3	chr1
1.6	2.345	1.167	-1.178	5.15	0.74	-0.68	0.00045	0.23969	0.25741	1	0	0	74229	Paqr8	chr1
1.31	1.296	0.984	-0.312	1.38	0	0	0.10207	0.52985	0.99369	0	0	0	71877	Efhc1	chr1
2.44	-0.068	0.723	0.79	0	0	0	0.99913	0.86672	0.80823	0	0	0	170829	Tram2	chr1
1.08	1.178	0.308	-0.87	0.74	0	0	0.24127	0.99353	0.70111	0	0	0	75712	Tmem14a	chr1
0.38	7.248	8.05	0.801	13.58	15	0	0	0	0.64463	1	1	0	226922	Kcnq5	chr1
5.59	-3.593	-1.352	2.241	-9.27	-1.25	4.86	1e-05	0.12307	0.00063	-1	0	1	70155	Ogfrl1	chr1
1.77	-0.442	0.179	0.621	0	0	0	0.88936	0.96491	0.80474	0	0	0	280645	B3gat2	chr1
4.87	0.699	0.586	-0.113	0	0	0	0.98429	0.99675	0.99998	0	0	0	98366	Smap1	chr1
2.2	0.879	-0.494	-1.373	0	0	-1.4	0.66201	0.9622	0.09907	0	0	0	68002	Sdhaf4	chr1
5.19	0.492	0.578	0.086	0	0	0	0.97651	0.95739	0.99926	0	0	0	68187	Fam135a	chr1
5.98	-1.533	0.552	2.085	-1.69	0	3.63	0.06444	0.9025	0.00339	0	0	0	12839	Col9a1	chr1
6.22	-0.965	-0.657	0.308	0	0	0	0.6178	0.99161	0.99991	0	0	0	68421	Lmbrd1	chr1
1.98	1.44	1.2	-0.24	2.11	1.01	0	0.03417	0.17067	0.9965	0	0	0	665903	Gm7846	NA
7.25	-0.539	-0.387	0.153	0	0	0	0.99688	0.99939	0.99996	0	0	0	213109	Phf3	chr1
6.19	-0.336	0.311	0.647	0	0	0	0.99858	0.99885	0.97865	0	0	0	19243	Ptp4a1	chr1
4.07	1.102	0.991	-0.112	0.56	0	0	0.29443	0.52041	0.99956	0	0	0	19076	Prim2	chr1
3.43	0.842	0.367	-0.475	0	0	0	0.81047	0.99785	0.99328	0	0	0	19335	Rab23	chr1
4.69	1.005	0.929	-0.075	0.03	0	0	0.48674	0.68447	0.99994	0	0	0	213539	Bag2	chr1
4.78	-0.471	0.219	0.69	0	0	0	0.9754	0.99553	0.90149	0	0	0	98403	Zfp451	chr1
3.14	0.514	0.234	-0.28	0	0	0	0.99476	0.99971	0.99951	0	0	0	433287	Gm15455	chr1
9.94	1.632	0.722	-0.91	3.06	0	0	0.00783	0.88849	0.68015	1	0	0	13518	Dst	chr1
3.18	-0.396	-0.087	0.309	0	0	0	0.99767	0.99987	0.99912	0	0	0	69668	Ccdc115	chr1
5.27	-0.024	0.046	0.07	0	0	0	0.99999	0.99999	0.99999	0	0	0	27993	Imp4	chr1
4.08	-0.401	-0.285	0.116	0	0	0	0.99822	0.99942	0.99991	0	0	0	52318	D1Ertd448e	NA
4.13	-5.633	-4.565	1.068	-28.41	-21.79	0.61	0	0	0.27924	-1	-1	0	19253	Ptpn18	chr1
2.65	1.935	2.505	0.57	4.9	7.72	0	0.00061	3e-05	0.96501	1	1	0	226970	Arhgef4	chr1
7.92	0.307	0.409	0.102	0	0	0	0.99966	0.99906	0.99997	0	0	0	214469	Fam168b	chr1
